INFO  - 2021-01-22 13:50:56.278; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2021-01-22 13:50:56.305; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\contexts at interval 0
INFO  - 2021-01-22 13:50:56.309; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\contexts\solr-jetty-context.xml
INFO  - 2021-01-22 13:50:56.350; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/D:/YandexDisk/GitHub/django%20shop/frobshop/solr-4.7.2/example/webapps/solr.war!/ to D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr-webapp\webapp
INFO  - 2021-01-22 13:50:57.572; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2021-01-22 13:50:57.623; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2021-01-22 13:50:57.647; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2021-01-22 13:50:57.647; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2021-01-22 13:50:57.648; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2021-01-22 13:50:57.723; org.apache.solr.core.ConfigSolr; Loading container configuration from D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\solr.xml
INFO  - 2021-01-22 13:50:57.791; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr
INFO  - 2021-01-22 13:50:57.796; org.apache.solr.core.CoreContainer; New CoreContainer 25764044
INFO  - 2021-01-22 13:50:57.796; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2021-01-22 13:50:57.804; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2021-01-22 13:50:57.805; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2021-01-22 13:50:57.808; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2021-01-22 13:50:57.810; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2021-01-22 13:50:57.810; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2021-01-22 13:50:57.810; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2021-01-22 13:50:57.811; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2021-01-22 13:50:57.811; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2021-01-22 13:50:57.811; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2021-01-22 13:50:58.150; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2021-01-22 13:50:58.152; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
